frame_id,pedestrianId,X,Y,W,H,conf,Xt,Yt
1.00,7.00,369.00,406.00,74.00,227.00,0.98,463.7,1492.51
2.00,7.00,369.00,406.00,75.00,231.00,0.98,464.325,1499.44
3.00,7.00,370.00,406.00,77.00,233.00,0.98,465.86,1502.9
4.00,7.00,371.00,404.00,79.00,235.00,0.98,467.265,1502.9
5.00,7.00,371.00,403.00,80.00,236.00,0.98,467.615,1502.9
6.00,7.00,371.00,401.00,81.00,237.00,0.98,467.89,1501.17
7.00,7.00,371.00,399.00,81.00,237.00,0.98,467.76,1497.71
8.00,7.00,373.00,398.00,81.00,237.00,0.98,469.095,1495.97
9.00,7.00,374.00,396.00,80.00,236.00,0.98,469.245,1490.76
10.00,7.00,374.00,396.00,79.00,234.00,0.97,468.765,1487.27
11.00,7.00,375.00,395.00,79.00,231.00,0.97,469.2,1480.28
12.00,7.00,375.00,394.00,80.00,229.00,0.98,469.35,1475.02
13.00,7.00,375.00,393.00,79.00,229.00,0.98,468.93,1473.26
14.00,7.00,376.00,392.00,79.00,228.00,0.99,469.505,1469.74
15.00,7.00,377.00,391.00,78.00,228.00,0.98,469.79,1467.97
16.00,7.00,378.00,390.00,78.00,229.00,0.98,470.5,1467.97
17.00,7.00,378.00,388.00,78.00,230.00,0.98,470.435,1466.21
18.00,7.00,378.00,387.00,78.00,231.00,0.98,470.435,1466.21
19.00,7.00,378.00,386.00,78.00,232.00,0.99,470.435,1466.21
20.00,7.00,378.00,386.00,78.00,232.00,0.98,470.435,1466.21
21.00,7.00,378.00,386.00,78.00,232.00,0.98,470.435,1466.21
22.00,7.00,378.00,384.00,78.00,232.00,0.98,470.295,1462.67
23.00,7.00,378.00,384.00,78.00,232.00,0.98,470.295,1462.67
24.00,7.00,378.00,382.00,78.00,232.00,0.98,470.165,1459.13
25.00,7.00,378.00,381.00,78.00,232.00,0.98,470.1,1457.35
26.00,7.00,378.00,379.00,78.00,233.00,0.98,470.035,1455.58
27.00,7.00,378.00,376.00,79.00,234.00,0.98,470.25,1452.02
28.00,7.00,378.00,373.00,80.00,234.00,0.98,470.41,1446.67
29.00,7.00,380.00,370.00,81.00,234.00,0.99,471.99,1441.3
30.00,7.00,381.00,369.00,83.00,233.00,0.98,473.285,1437.71
31.00,7.00,382.00,367.00,85.00,233.00,0.98,474.58,1434.11
32.00,7.00,382.00,366.00,87.00,232.00,0.97,475.165,1430.5
33.00,7.00,382.00,365.00,88.00,232.00,0.97,475.46,1428.7
34.00,7.00,383.00,361.00,90.00,232.00,0.97,476.635,1421.46
35.00,7.00,383.00,358.00,91.00,232.00,0.96,476.805,1416.01
36.00,7.00,383.00,361.00,92.00,230.00,0.93,477.225,1417.83
37.00,7.00,385.00,362.00,91.00,229.00,0.94,478.305,1417.83
38.00,7.00,383.00,363.00,92.00,228.00,0.95,477.225,1417.83
39.00,7.00,384.00,363.00,91.00,227.00,0.95,477.52,1416.01
40.00,7.00,385.00,364.00,90.00,226.00,0.97,477.875,1416.01
41.00,7.00,385.00,364.00,90.00,226.00,0.97,477.875,1416.01
42.00,7.00,388.00,364.00,89.00,225.00,0.98,479.61,1414.18
43.00,7.00,388.00,364.00,89.00,224.00,0.98,479.55,1412.36
44.00,7.00,389.00,362.00,88.00,224.00,0.98,479.785,1408.71
45.00,7.00,391.00,361.00,87.00,223.00,0.98,480.745,1405.05
46.00,7.00,392.00,359.00,87.00,223.00,0.98,481.34,1401.38
47.00,7.00,392.00,356.00,87.00,223.00,0.97,481.15,1395.87
48.00,7.00,392.00,353.00,86.00,223.00,0.97,480.61,1390.33
49.00,7.00,391.00,351.00,86.00,223.00,0.97,479.755,1386.64
50.00,7.00,393.00,349.00,87.00,223.00,0.98,481.44,1382.93
51.00,7.00,394.00,347.00,87.00,224.00,0.98,482.105,1381.07
52.00,7.00,394.00,345.00,86.00,225.00,0.99,481.68,1379.21
53.00,7.00,394.00,345.00,87.00,225.00,0.98,482.045,1379.21
54.00,7.00,394.00,346.00,86.00,226.00,0.98,481.805,1382.93
55.00,7.00,394.00,345.00,86.00,227.00,0.97,481.805,1382.93
56.00,7.00,394.00,344.00,85.00,227.00,0.97,481.38,1381.07
57.00,7.00,394.00,344.00,85.00,228.00,0.98,481.445,1382.93
58.00,7.00,396.00,343.00,85.00,228.00,0.98,482.83,1381.07
59.00,7.00,397.00,341.00,84.00,228.00,0.98,483.07,1377.35
60.00,7.00,397.00,340.00,83.00,229.00,0.98,482.71,1377.35
61.00,7.00,397.00,339.00,84.00,229.00,0.97,483.015,1375.49
